RF001,Apple,100,200/Kg
RF002,Banana,100,250/Dozen
RF003,Black pepper,100,1000/Kg
RF004,cabbage,100,50/Kg
RF005,Carrot,100,50/Kg
RF006,Coriander,100,300/Kg
RF007,Cucumber,100,100/Kg
RF008,Dalda Oil 1Lt,100,350/Lt
RF009,Ginger,100,600/Kg
RF010,LUX_large,100,90/Unit
RF011,LUX_medium,100,70/Unit
RF012,LUX_small,100,40/Unit
RF013,Mango,100,400/Kg
RF014,Olives,100,2000/Kg
RF015,Onion,100,80/Kg
RF016,Orange,100,200/Kg
RF017,Potato,100,60/Kg
RF018,Salt,100,40/Unit
RF019,Sufi Oil 1Lt,100,320/Lt
RF020,Tomato,100,140/Kg
RF021,Green Tea,80,1000/Kg
RF023,Daal Chana,200,160/Kg
RF022,Coconut,20,200/ 100 gsm
RF024,Daal Mash,30,180/ Kg
RF025,Red Chilli Powder,5,1500/ Kg
RF026,PEPSI 1.5Lt,50,110/ Unit
